RR3_HRT_FLT_F1	RR3_HRT_FLT_F2	RR3_HRT_FLT_F9	RR3_HRT_GC_G7	RR3_HRT_GC_G8	gene_symbol
1236	1058	1712	1224	658	Cab39l
1589	1621	2346	1445	690	Cdadc1
551	517	833	428	334	Atp8a2
0	0	0	4	0	Amer2
2712	2448	3937	2145	1385	Mtmr6
1703	1302	2387	1066	760	Spata13
84	40	34	70	25	Cacna2d3
3906	3690	6292	3205	1922	Mipep
770	600	862	649	421	Wnt5a
4664.82	4028	7442.84	4039	2150.92	Esd
0	0	0	1	8	Lrrc63
1697	1348	2430	1529	860	Lcp1
0	4	11	0	0	Cpb2
1922	1997	2622	1541	895	Zc3h13
491	530	937	389	226	Slc25a30
1666	1586	2758	1351	909	Gpalpp1
344	338	537	323	116	Nufip1
8658	9033	12736	8401	4028	Tsc22d1
43	49	55	33	36	Enox1
5089	4591	8319	4616	2223	Dnajc15
74	61	84	41	81	Epsti1
2	9	8	1	5	Tnfsf11
3785	4517	6530	3606	2240	Akap11
774	1966	965	508	374	Rgcc
1866	1679	2782	1543	1057	Tdrd3
282	278	438	256	112	Naa16
69	67	64	53	2	Diaph3
729	613	1342	613	333	Mtrf1
1470	1184	2309	1288	682	Wbp4
2897	2623	4556	2629	1394	Sugt1
42	39	61	55	4	Cnmd
1	0	0	2	0	Olfm4
2292	1940	3247	1827	1021	Elp3
1411	1661	1865	966	442	Scara5
32	9	12	17	27	Pbk
17	17	31	19	4	Esco2
1163	971	1864	989	636	Ccdc25
12475	9341	16264	8558	6197	Clu
0	0	2	0	0	Adam2
15411	17719	22367	10792	7007	Ephx2
311	562	143	77	69	Chrna2
4851	4753	6947	3745	2461	Trim35
9	7	3	1	0	Stmn4
5133	4874	6723	3576	2087	Dpysl2
4917.84	3247.96	6049.51	6400.63	1547.05	Bnip3l
1836	2171	2296	1762.99	1001	Ppp2r2a
632	837	798	602	229	Ebf2
2	11	4	2	2	Nefm
1	6	5	3	0	Nefl
3	1	2	2	0	Adamdec1
560	543	891	517	237	Pibf1
2660.71	2008.72	3471.07	1921.38	1210.36	Entpd4b
53	36	93	34	41	Bora
102	90	154	98	40	Tnfrsf10b
1480	1458	2412	1310	742	Rhobtb2
345	315	535	325	151	Bin3
531	367	609	308	123	Pdlim2
919	1225	1061	604	336	Sorbs3
1653	1466	2614	1411	843	Ppp3cc
3411	4352	5362	2714	2069	Slc39a14
1142	1324	1731	923	520	Fhip2b
990	1271	1005	575	411	Hr
0	7	1	0	0	Sftpc
1463	1191	1504	899	453	Bmp1
208	141	253	147	69	Dmtn
3023	2790	4429	2504	1456	Xpo7
1	0	1	0	0	Fgf17
131	116	79	125	57	Dok2
142	151	98	98	32	Gfra2
1347	1559	2067	1361	707	Rb1
1768	1394	2591	1379	1020	Rcbtb2
26506	23619	39640	23170	12687	Itm2b
1305	1037	1931	1125	566	Med4
33071	30372	54740	28088	17079	Sucla2
1440	1495	2472	1406	872	Uchl3
846	747	1075	647	356	Spry2
1337.82	1380.81	2074.28	1121.29	669.84	Rbm26
214	180	320	213	104	Obi1
1300	1352	1707	1099	537	Ednrb
5	12	23	0	0	Scel
1903	1863	3010	1594	990	Fbxl3
1440	1334	2294	1118	622	Cln5
0	2	2	0	0	Acod1
135	284	215	89	78	Dct
381	301	652	400	162	Tgds
983	725	1369	757	454	Gpr180
3	3	12	7	0	Cldn10
2396	2283	3619	2186	1472	Dnajc3
13727	13897	20883	11085	6887	Mbnl2
4655	5735	7483	4301	2412	Nipbl
1261	1405	1907	1082	762	Nup155
1	6	3	11	0	Gdnf
1058	1335	1632	723	430	Osmr
123.62	110.62	226.1	155.78	68.93	Fyb
0	1	19	1	0	C9
2140	1829	2753	1702	793	Dab2
1433	1506	2593	1172	816	Ttc33
2	0	0	0	0	Mcpt8
348	263	489	291	148	Rab2b
709	553	1132	539	276	Mettl3
3383	2658	5121	2605	1468	Dad1
3205	2794	4202	2260	1415	Lrp10
220	208	325	145	92	Haus4
273	184	401	200	97	Ajuba
297	266	392	221	114	4931414P19Rik
214	235	294	189	69	Slc7a8
7	15	12	7	0	C6
334	266	423	209	126	Fbxo4
3190	2741	4402	2651	1349	Acin1
70631	64789	115923	58742	39282	Oxct1
2740	2786	4184	2462	1392	Drosha
2479.57	1901.7	3749.11	1895	1152.81	Psmb5
672.18	348	682.04	462	332	Bcl2l2
892	897	1467	718	633	6030458C11Rik
7236	6688	9752	4381	2605	Pdzd2
96	79	131	75	79	Slc22a17
3489	3502	5393	3011	1951	Golph3
4582	4803	7260	4022	2336	Zfr
129	102	163	145	24	Efs
1031	762	1621	988	477	Ngdn
3020	2405	5070	2746	1433	Sub1
2559	1311	799	2319	337	Npr3
10	10	10	2	0	Jph4
0	1	2	0	0	Dhrs2
4079	3303	6263	3188	1627	Dhrs4
88	102	122	101	39	Carmil3
0	0	7	0	0	Cpne6
8270	7045	12556	6900	4117	Dcaf11
4953	4104	8212	4172	2126	Fitm1
8061	6351	12627	7225	5139	Psme1
1069	756	1538	847	481	Emc9
13	7	14	8	0	Tgm1
171	113	155	126	68	Cideb
958	905	1246	755	446	Adcy4
117	97	125	69	64	Ripk3
3705	3095	5671	2838	1465	Sdr39u1
282	107	445	107	75	Cma1
2354	2458	3485	1810	1276	Zscan26
0	0	2	0	0	Atp12a
602	894	946	557	315	Sema5a
7229	6228	11581	6286	3479	Cct5
1562	1459	2416	1178	549	Cmbl
4	8	13	4	2	Ropn1l
2763	2124	4164	1998	1440	Ankrd33b
7	6	18	20	5	Ctnnd2
1637	1475	2526	1378	763	Tars
2055	1703	3183	1739	969	Amacr
1	1	3	2	0	Skor1
331	390	542	261	182	Rai14
964	1017	1629	958	558	Brix1
283	256	472	230	179	Rad1
3700	3219	5409	2834	1552	Nadk2
4082	3613	6226	3523	2235	Mtdh
2886	2482	4302	2339	1231	Laptm4b
3000.94	3111	4448	2440	1208	Sdc2
4326	4143	5526	3057	2088	Trio
10134	9602	14616	7642	4537	Ank
3	9	3	2	0	Marchf11
11856	12948	16218	8558	5318	Retreg1
4363	4718	6036	3319	1857	Myo10
1492.21	1528	2296	1199	719	Rnf19a
6845.97	5768.97	7160.14	6343.96	2535	Pabpc1
5954.63	6009.92	8748.96	5325.61	2871.14	Ywhaz
228	191	329	155	88	Grhl2
2401	2305	3829	2116	1346	Rrm2b
2430	2214	4145	2077	1206	Atp6v1c1
13	27	42	28	0	Baalc
1284	1031	2092	999	721	Fzd6
968	1061	1636	816	551	Slc25a32
985	874	1512	859	384	Dcaf13
0	1	12	0	0	Dcstamp
1	3	0	0	0	Dpys
312	290	565	285	198	Lrp12
1717	1916	2396	1384	854	Zfpm2
4261	3666	6883	3705	2256	Oxr1
1558	2017	2043	2125	646	Angpt1
0	1	1	0	0	Csmd3
6956.76	6088.63	10353.21	6008.71	3016.52	Eif3h
247	207	457	224	107	Utp23
4872	5161	6596	4130	2345	Rad21
1	2	0	1	20	Cdh10
58	42	78	39	21	Shcbp1
391	326	568	304	215	Rida
1511	1830	2568	1491	751	Matn2
108	133	205	87	93	Pop1
607	549	975	552	412	Stk3
1	3	3	3	0	Osr2
2387	1663	3542	1785	1080	Khdrbs3
290	269	411	172	75	Zfat
4781	4078	7602.98	4286	2374	Eif3e
7590	6908	12528	7053	3767	Emc2
1731	1466	2928	1439	810	Eny2
754	665	1110	652	392	Ebag9
382	287	620	326	202	Sybu
151	196	114	74	15	Myc
0	3	0	0	0	A1bg
2558	2551	3978	2122	1293	Washc5
96	23	206	82	79	Sqle
2717	1918	3374	2068	1139	Mtss1
42648.36	32659.7	67992.62	33128.52	18546.91	Ndufb9
1770	3205	2252	1244	691	Klhl38
9148	10537	13226	8770	4679	Fbxo32
515	414	705	427	240	Wdyhv1
371	394	504	297	241	Atad2
2514.72	2475.82	3615.97	2095.87	1250	Zhx1
311	299	510	253	186	Tbc1d31
3295.96	3252	5358	2893	1689	Derl1
57	21	46	31	25	Has2
220	153	234	141	82	Mtbp
3732	3189	5896	3111	1571	Mrpl13
4488	5281	5428	3599	1581	Col14a1
144	301	216	155	59	Sla
9	3	9	1	0	Lrrc6
72	118	134	50	17	Adcy8
1136	1213	1471	902	448	Asap1
1150	988	1818	1031	691	Cyrib
2	0	1	1	0	Wnt7b
2209	2807	4481	2225	1648	Ppara
19	12	26	14	6	Gtse1
552	389	720	396	229	Trmu
2195	1992	2889	1551	1134	Brd1
3151	8249	5059	2526	1535	Tef
5933	5249	8216	4215	2745	Zc3h7b
1299	1133	2012	1240	605	Rangap1
975	742	1422	634	369	L3mbtl2
3457.93	2715.99	5403.96	2568	1459.97	Rbx1
961	1000	1541	704	408	Xpnpep3
6003	5697	9327	5314	3143	St13
564	483	987	501	242	Slc25a17
3657	3073	5520	3171	1598	Adsl
6	3	27	5	0	Fam83f
2182	2171	3531	1742	1142	Mief1
1743	1145	2331	1189	768	Tab1
2558	2189	3532	2042	1180	Syngr1
6	2	8	12	6	Cacna1i
1003	1368	1243	757	476	Deptor
806	673	1376	818	443	Dnal4
163.67	135.74	217	143.12	52	Nptxr
4	3	2	3	0	Dscc1
682	520	780	531	165	Enpp2
1395.76	1540.56	2266.48	1445.78	808.16	Josd1
2154	1574	3422	1809	927	Tomm22
955	689	1365	763	446	Cby1
1	1	0	2	0	Dmc1
4	7	2	0	10	Smc1b
1678	1593	2287	1141	849	Csnk1e
437	399	706	420	219	Fam118a
12	0	0	0	0	Upk3a
183	182	265	118	73.9	Sh3bp1
11350.99	9541	17693	8757	5238	Samm50
3317	3042	4235	2645	1707	Parvb
42	23	33	34	12	Parvg
242	242	218	91	56	C1qtnf6
0	4	0	0	0	Efcab6
5451	3562	9021	3179	2442	Ttll1
11787.49	13094.8	14960.85	9508	5422.57	Myh9
1	21	9	1	0	Cyp2d26
12	16	20	9	5	Adamts20
13035	10042	19529	10919	5839	Ndufa6
984	949	1374	747	377	Twf1
3995	3024	5948	3113	2207	Smdt1
852	781	1277	737	385	Naga
2	5	5	0	0	Nell2
2	0	0	0	0	Wbp2nl
28	14	28	37	18	Septin3
11026	10454	15966	11935	6962	Slc38a2
1593	1125	2151	1129	812	Srebf2
640	600	1235	544	411	Slc38a4
1029	942	1611	787	448	Rpap3
114	96	163	65	53	Endou
1039	1060	1439	657	385	Rapgef3
1462	1299	2560	1220	821	Xrcc6
970	946	1298	759	445	Desi1
484	432	602	303	131	Pmm1
1365	1168	1542	861	459	Hdac7
408	337	503	284	155	Polr3h
145296.95	133809	222158.77	111497.99	68950.98	Aco2
70	26	26	38	20	Vdr
2	1	9	2	0	Col2a1
0	1	3	0	0	Hoxc5
6	3	5	11	0	Gtsf1
538	521	929	511	348	Nckap1l
133	122	177	68	22	Pde1b
75	38	98	42	14	Ppp1r1a
0	0	0	4	0	Glycam1
0	2	8	5	0	Shisa9
14	10	16	5	3	Tnfrsf17
833	720	1004	613	262	Txndc11
1150	963	1532	842	435	Litaf
0	1	0	0	0	Prm1
511	372	697	424	151	Nubp1
28	36	88	71	23	Ciita
3955	3825	5342	2512	1583	Emp2
3115	4461	5112	2886	1638	1810013L24Rik
1106	2080	1894	989	513	Bcl6
54	42	30	28	7	Trp63
26	47	51	33	6	Cldn1
408	380	576	242	160	Il1rap
411	315	646	321	179	Anks3
405	426	557	319	132	Nudt16l1
13351	11213	18289	9336	5845	Mgrn1
75132	62044	114539	57487	38369	Srl
5189	6092	7012	4178	2516	Crebbp
402	83	33	66	4	Fgf12
1662	1381	3095	1593	809	Plaat1
1025	908	1610	809	594	Zfp251
640	605	1023	598	356	Hes1
585	528	930	537	284	Zfp263
2719	3320	4665	2535	1487	Atp13a3
0	1	2	11	0	Mefv
3977	3269	5642	2873	1723	Glyr1
222	165	339	126	76	Tmem44
836	672	1229	805	485	Lsg1
603	493	755	410	181	Rogdi
94	105	146	52	56	Dnaaf8
517	485	919	458	243	Eef2kmt
585	492	776	432	207	Ercc4
1950	1745	2837	1476	816	Gpt
518	414	1166	452	173	Apod
258.68	242	322.91	177.18	79	Adck5
34906	31081	50416	26586	14257	Cyc1
1080	937	1664	831	526	Sharpin
3783	2922	4892	2757	1567	Maf1
135	128	189	97	87	Hgh1
907	838	1363	717	485	Dgat1
1624	1182	2019	1014	646	Hsf1
1306	949	1766	995	547	Bop1
2059	1772	2588	1387	771	Mroh1
496	379	679	316	242	Fbxl6
405	263	554	268	116	Slc52a2
1044	700	1251	744	402	Gpaa1
3612	3292	4729	2292	1502	Oplah
2870	2654	4047	2278	1258	Grina
31398.28	29335.64	41616.65	22867	16298	Plec
1584	1334	1715	1115	731	Scrib
589	547	882	547	245	Gfus
729	539	891	503	251	Pycrl
841.74	787.78	1090.55	621	355	Naprt
310	327	390	274	160	Gsdmd
1	0	0	0	0	Ly6h
4894	5322	6132	2971	1891	Gpihbp1
3	6	2	1	0	Rhpn1
1	0	0	1	0	Ly6g
367	310.37	460.48	217.54	200.95	Ly6c2
9	4	7	2	0	Ly6i
4015	4154	5076	3268	3358	Ly6e
0	8.61	10.93	0	3	Cyp11b2
17125	14422	26905	13245	8089	Lynx1
69	59	156	38	27	Lypd2
9	1	10	1	0	Slurp1
3	4	8	2	0	Psca
918	1030	1506	822	591	Zbtb11
80	121	188	99	33	Arc
444	519	772	444	211	Cep97
2674	2170	3508	1820	965	Ptk2
739	659	1053	581	303	Mapk12
14	0	1	0	0	Miox
1475	1563	1946	1093	633	Lmf2
20.76	3.47	8.19	8.33	14.08	Tymp
1583.77	1282.95	1984.72	1020.01	628.47	Chkb
12	5	21	10	18	Mapk8ip2
910	834	1104	638	392	Arsa
190	175	330	146	106	Rabl2
4	3	3	2	0	Acr
1809	1859	1909	1089	681	Shank3
2349	2033	3797	1943	1310	Kif21a
758	618	1090	608	398	Yaf2
2452	2101	3876	1948	1135	Zcrb1
159	210	310	156	90	Alcam
1005	1147	1363	747	417	Cblb
2416	2320	3676	2047	1425	Bbx
3	1	15	38	1	Retnlg
594	502	801	512	316	Nectin3
7	19	1	16	3	Cd96
6	5	27	6	6	Tagln3
1	7	4	17	0	Gcsam
2381	1712	4063	1573	805	Cd200
834	887	1388	644	422	Atg3
445	419	619	386	259	Slc35a5
4707	4651	4931	3356	1306	Ccdc80
56	58	62	37	33	Cd200r1
593	508	1029	495	265	Gtpbp8
598	474	820	424	251	Mzt2
1477	1474	2470	1159	681	Prkdc
667	663	985	644	363	Mcm4
937.97	863.56	1717.01	791.65	429.03	Ube2v2
116	105	176	105	40	Snai2
2494	2040	4215	1925	1166	Cep20
1790	1481	2638	1335	754	Nde1
122	79	171	82	51	Mpv17l
4364	3894	6994	3334	2318	Pdxdc1
1455	1201	1764.89	965.93	578	Ntan1
3830	3088	5894	3044	1943	Rrn3
0	0	0	1	0	Pla2g10
2936.69	2802.7	4574.76	2354.46	1511	Bfar
664	640	948	496	187	Parn
20	28	74	44	4	B3gnt5
282	375	404	177	106	Boc
26	27	40	38	6	Sidt1
2991	3577	4403	2457	1609	Naa50
241	168	289	171	93	Ccdc191
754	732	1073	579	358	Hira
339	276	445	196	173	Qtrt2
0	1	0	0	4	Drd3
1855	1463	2879	1557	784	Mrpl40
3467	3123	5716	2656	1858	Gbe1
30455	39185	47768	23710	19163	Zbtb20
4247	4244	6633	3556	2290	Usp7
1250	1104	1811	870	619	Pmm2
974	797	1291	764.71	342	Dgcr8
778	690	1079	569	347	Trmt2a
352	304	603	317	180	Arl6
10905	8138	14664	7853	4943	Crybg3
981	794	1574	728	444	Riox2
1139	1176	1676	821	600	Cpox
1234	1168	1770	1054	465	Cldnd1
1349	1173	1838	930	575	St3gal6
2351	1678	3512	1938	911	Cmss1
1930	1721	2804	1492	1041	Tbc1d23
1260	1136	1732	902	531	Klhl22
1373	1253	2182	1175	674	Nit2
5344	5469	9354	4848	3018	Tomm70a
0	0	1	0	0	Tmem30c
176	150	273	158	54	Tmem45a
0	0	7	0	0	Adgrg7
118	131	184	120	45	Slc7a4
2182	2125	3569	1915	1095	Tfg
179	94	212	130	59	P2rx6
0	0	0	2	0	Lrrc74b
455	379	568	365	178	Thap7
1630	1476	2310	1336	595	Lztr1
7	16	7	12	18	Ncam2
11	0	11	2	1	Aifm3
1418	1354	2107	1119	787	Snap29
16	36	45	23	15	Serpind1
1	1	0	1	3	Ccdc116
202	166	276	192	115	Sdf2l1
4342	4082	6870	3997	2406	Dlg1
2122	1834	3135	1644	1099	Ppil2
1270	1331	1983	1133	701	Senp5
13	29	29	14	6	Ypel1
1172	1047	1818	1140	620	Ncbp2
1163	999	1737	923	531	Top3b
0	4	2	0	0	Meltf
3017	3046	4449	2540	1639	Pak2
0	1	0	2	0	Spag6l
310	274	534	305	133	Wdr53
4002	3842	6735	3546	2245	Fgd4
9028	8455	14362	7759	4274	Dnm1l
39	20	22	12	38	Igsf11
663	593	747	468	209	Tnk2
972	920	1726	900	487	Yars2
430	596	614	371	190	B4galt4
10921	2928	16127	8756	5149	Tfrc
4888	5504	6435	3351	2137	Arhgap31
4137	3816	6891	3603	2412	Fyttd1
1930	2041	2644	1347	874	Lrch3
197	193	289	169	119	Lmln
30730	27742	45723	27201	15274	Popdc2
0	1	1	2	0	Cfap91
1521	1539	2202	1092	637	Osbpl11
1933	1695	3088	1732.99	997.96	Snx4
0	2	0	0	0	Nr1i2
3099	3143	4965	2689	1607	Zfp148
4775	5231	6909	3764	2543	Gsk3b
603	439	842	437	193	Umps
6616	4916	6277	3421	1605	Fstl1
5296.16	4756.86	8188.86	4840.76	2618	Itgb5
16	6	19	4	5	Cyp2ab1
10309.96	8514.38	18141.25	8361.51	4454.75	Ndufb4
4	14	32	1	0	Hgd
1392	1112	1707	918	494	Abcc5
1	2	7	5	0	Muc13
561	367	701	359	208	Rabl3
693	648	1126	609	343	Gtf2e1
9	4	12	0	5	Stxbp5l
472	435	575	395	216	Hcls1
225	155	302	160	76	Ccdc14
1466	2056	2346	1154	790	Mylk
473	410	776	445	247	Iqcb1
41	23	25	17	22	Eaf2
8477	6073	11297	5913	3775	Adcy5
7566.41	6810.39	11073.73	5859.03	3166	Ap2m1
31.6	61	68	7.88	12.31	Ece2
109	105	142	124	44	Clcn2
196	185	217	132	97	Pdia5
0	0	5	0	0	Thpo
2673	2570	4032	2061	1183	Slc49a4
95	93	136	85	28	Hspbap1
1275	770	1286	626	291	Ehhadh
1287	1014	1936	987	767	Senp2
702	537	787	383	218	Tmem41a
2037.24	2046.7	2956.06	1906.68	1138.8	Tra2b
3	7	8	2	0	Chodl
29	10	38	11	3	Dgkg
356.82	235.91	547.72	315.18	152.06	Btg3
315	179	398	284	127	D16Ertd472e
2317	2026	4439	2674	1550	Cxadr
5383	4790	7826	4572	2798	Usp25
237	211	161	206	2	Ahsg
7	11	13	15	9	Fetub
8	18	37	0	0	Kng1
42	41	37	69	5	Samsn1
0	21	7	0	0	Hrg
1	134	603	28	0	Adipoq
444	416	639	345	176	Rfc4
191	211	243	127	44	Robo1
16283.11	15901.13	27450.85	15565.02	8460	Eif4a2
878	613	986	665	298	St6gal1
440	368	621	497	256	Masp1
4573	3855	6714	3310	2185	Mrpl39
30388	26838	50571	26971	11312	Atp5j
8878	9068	11840	6917	3759	App
1962	2577	1933	2012	1226	Adamts1
2897	2455	3571	1803	1159	Adamts5
6066	4286	8447	4185	2653	Ets2
4705	4716	7512	3911	2506	Dyrk1a
1707	1411	2499	1511	782	Vps26c
189	176	306	163	144	Slc15a2
0	1	0	4	0	Ildr1
123	107	130	103	92	Cd86
0	0	0	0	6	Stfa2
7514	6932	12851	6767	4091	Kpna1
963	826	1385	852	790	Parp9
384	355	551	267	179	Arl13b
1733	1662	2477	1468	738	Pros1
953	672	1505	714	447	Psmg1
5789	5592	9422	4750	3068	Brwd1
0	0	1	0	0	Grik1
0	2	0	3	0	Fam3b
2671.98	2218.98	4648.99	2274.98	1178.96	Pigp
121	134	219	141	86	Ripply3
34	22	47	31	10	Chaf1b
920	1096	1407	906	428	Dop1b
52	55	123	51	41	Cbr3
69	30	43	38	15	Setd4
28	5	2	2	0	Clic6
3915	2102	6358	3158	2365	Rcan1
81	83	164	95	41	Runx1
61123.99	49983	95686.09	48496	27052	Atp5o
3372	2597	4432	2408	1529	Itsn1
149	122	213.15	128	121	Donson
15079	13075	21815	12402	7246	Son
2569	2205	3973	2118	1266	Gart
1974	1649	2800	1606	878	Tmem50b
10149	10134	16281	9310	5198	Ifngr2
1553	1322	2124	1105	676	Ifnar1
5804	5139.02	9731	5083	3084	Il10rb
1209	1115.27	1946	1111	511	Ifnar2
734	510	1251	652	313	Cfap298
1488	1440	1966	1145	683	Synj1
681	469	927	444	275	Paxbp1
150	116	175	90	30	Mis18a
10833.98	8948.99	16090.97	8138.96	4329.51	Sod1
748	879	920	575	294	Scaf4
477	449	702	417	294	Zfp641
5	0	6	0	0	Lalba
2465.53	2181.54	3741.38	1825.2	1157	Kansl2
0	1	11	0	0	Tex49
9825	10537	13511	6607	4514	Adcy6
8595	8250	13257	7056	5063	Enah
15	5	9	1	0	Wnt10b
358	212	305	191	126	Lmbr1l
62	39	42	35.72	1	Dhh
15038.89	12419.61	20174.18	13255.08	6947.14	Tuba1b
700	568	924	548	291	Prpf40b
1590	1281	2169	1044	659	Fmnl3
181	220	266	145	132	Nckap5l
10272	8948	15629	8481	4931	Tmbim6
0	7	13	0	0	Faim2
5	0	4	0	0	Aqp2
106	90	117	83	44	Racgap1
10	2	9	5	0	Asic1
1774	1620	2624	1409	847	Smarcd1
2211	2453	3491	1473	799	Gpd1
3593	2855	5279	3090	1467	Cox14
1198	1019	1658	1121	555	Cers5
1787	1626	2297	1346	612	Lima1
3967.85	4497.59	6681.71	3537.84	2551.9	Larp4
3651	3904	5492	3158	2019	Dip2b
1369	1422	2147.1	1172.85	827.59	Atf1
1674	1320	2489	1170	791	Slc11a2
14	26	33	20	14	Cela1
42	157	124	46	19	Slc4a8
1	5	4	0	3	Scn8a
609	475	481	577	288	Nr4a1
99.04	36.86	39.27	115.97	12	Pcdhgc4
65	59	50	1	1	Krt7
0	3	1	2	0	Krt6b
69	23	64	29	0	Krt18
511	423	747	308	217	Csad
2	2	5	0	2	Soat2
1081	721	1171	344	320	Igfbp6
2	9	10	6	0	Amhr2
1282	847	1756	1006	396	Prr13
279	206	396	150	114	Map3k12
1484.82	1276.8	2213	1030.52	658	Tarbp2
6	6.22	10.74	6	4.77	Npff
7463	7577	10859	5831	3404	Calcoco1
1	4	0	0	0	Fabp2
338	368	561	253	167	Sncg
523	489	824	361	256	Rttn
624	1039	590	549	273	Cdkn1a
2020	2521	3227	1829	1182	Nus1
27	53	80	23	0	Rgn
505	482	745	360	180	Cep89
0	0	2	0	0	Slc10a2
1263	1325	2583	1203	726	Mospd1
1276	1026	1841	1006	706	Akirin1
2	13	30	0	0	Cxcl13
769	517	1005	511	348	Gtf2ird1
7.62	1.05	5.6	6	0	Lrrc71
545	1022	1059	707	358	Noct
2143	2173	3061	1619	999	Abcc1
26733	20994	45487	21549	11623	Ndufa5
4603	5184	6460	3638	2006	Fhl1
3597	2899	5575	3034	1736	Msrb2
853	659	1162	693	328	Rfc2
1757	1596	2952	1643	810	Denr
1872	1728	2863	1638	1035	Prmt5
4989	4558	7071.01	3929	2246	Sympk
4	0	0	0	0	Ldc1
1	0	6	0	0	Sult1c2
15	48	45	69	16	Gzma
588	544	767	450	253	Nagpa
700	614	1153	638	432	Get1
65550	64106	115787	49910	34915	Ivns1abp
3	0	3	0	0	Lrrc69
28	31	24	8	1	Tmem52
1340	1203	2464	1271	707	Rpp14
947	957	1618	978	501	Slc38a1
808	743	1135	637	418	Gps2
59721	56552	82810	42531	25748	Bsg
26	24	39	30	0	Cpn2
3042	2947	4362	2476	1426	Vwa5a
655	603	852	484	266	P3h3
829	882	1224	760	408	Il15ra
73	14	24	82	8	Epb42
6058	6260	8545	5227	2424	Serping1
14	21	15	6	0	Serinc2
90	62	124	50	28	Ccl25
3	1	20	1	0	Scg5
44	68	115	66	35	Kcnk5
0	1	2	1	0	Guca2a
1302	1181	1788	1113	646	Parp3
676	538	844	428	234	Slc26a6
693	650	1247	574	275	Acy1
240	191	286	176	127	Frs3
71	66	77	33	28	Gabrr2
512	475	781	544	353	Creld2
105	34	55	60	35	Cd4
6085	4891	9093	4447	2561	Twf2
0	3	0	0	0	Bmp15
201	200	323	164	67	Zfp605
1173.7	892.88	1537.5	886.7	438	Ube2j2
2496	2553	4280	2311	1270	Marchf5
78	55	61	57	28	Ache
289	222	463	222	105	Dtwd1
796	728	1066	657	421	Wfdc1
117	65	139	105.69	98	Mx2
137	129	183	126	89	Poc1a
1056	775	1294	684	376	Trip6
57	50	91	45	15	Clec4n
1748	1541	1943	1284	665	Agap3
495	494	858	435	204	Tmem176a
24	3	26	6	0	Slc17a9
227	169	254	172	48	Nfatc4
0	1	0	0	0	Cela3b
434	369	1163	590	396	Gnb3
1830.43	1696.16	2780.02	1520.2	897.89	Pisd
38882.99	34289	63711.99	32717.99	18466	Tpi1
6537	6416	9912	5138	3065	Rab12
1	3	3	2	6	Tulp2
0	3	2	2	0	Celsr3
16	10	17	1	0	Prph
1897	1476	2508	1260	814	Pcbp4
47	31	20	20	32	Cdca3
127	128	175	110	42	C1qtnf12
1814	1248	2253	1922	629	Ccndbp1
500	406	789	413	205	Ogfod2
3970	3299	6566	3308	1675	Mrps23
46	35	60	49.28	6	Rhebl1
1616	955	1551	913	604	Sfi1
0	0	4	0	8	Hes7
423	349	718	437	251	Pigx
98	88	153	116	71	Tiam2
5684	6249	7174	3987	2538	Synj2
1242.08	1244.87	1891.84	1095.26	578.58	Rsph3b
1763.98	1636.69	2404.77	1908.1	1127.74	Rps6ka2
433	388	746	351	255	Prkn
155	170	222	157	71	Agpat4
1162	1105	1729	915	561	Slc22a3
372	189	366	150	95	Slc22a1
28500	28060	84074	23306	14667	Igf2r
313.67	282.99	614.67	271.58	134	Acat2
18823	23715	30119	17093	10561	Lnpep
1749	1885	2704	1427	956	Chd1
20313.27	17905.53	34531.27	17613.43	10028.94	Mpc1
182	229	257	101	93	Pde10a
8	2	2	3	0	1700010I14Rik
54	49	100	53	20	Zfp54
2140	1894	3473	1804	1191	Phf10
3369	3732	4493	2572	1141	Thbs2
5555	5663	9371	4525	2971	Smoc2
620	600	986	518	304	Zfp51
1	8	13	10	6	Mmp25
6985	6093	11066	5817	3156	Hcfc1r1
1123	1026	1603	916	760	Tnfrsf12a
28	14	26	19	10	Pkmyt1
967	783	1335	743	501	Paqr4
76	42	83	84	8	Flywch2
116	90	137	60	72	Slc25a27
488	430	499	358	187	Pla2g7
20	0	2	0	0	Mep1a
525	790	705	390	202	Tnfrsf21
36	23	56	22	7	Adgrf4
408	332	735	394	216	Cenpq
10813	9295	18403	9280	5759	Mmut
1768	1534	2543	1172	817	Tbc1d5
7	3	10	25	0	Rhag
1285.87	1103.98	1556.99	785	422	Satb1
0	3	3	0	0	Crisp2
16	2	18	12	0	Efhb
3192.33	3007.74	5075.42	2755.66	1900.95	Cdc5l
3	8	23	3	0	Spats1
1352	1216	2026	1059	785	Aars2
3969	3329	5969	3198	1512	Mrpl14
6	19	15	9	5	Sgo1
3739	3113	5866	2908	1805	Slc29a1
64151	63701	96607	57005	32007	Hsp90ab1
156	82	168	141	38	Nfkbie
9185	5768	12564	6829	4763	Vegfa
2107	2187	3222	1777	943	Gtpbp2
618	509	1021	499	307	Polh
13086	12353	23041	10782	7995	Clic5
2047	1900	3383	1839	986	Enpp5
2457	2518	3857	2316	1270	Enpp4
262	266	414	225	122	Cyp39a1
1582	1663	2561	1467	898	Fbxl17
38	16	46	19	3	Rsph9
3534	2678	6023	2830	1712	Mrps18a
30	3	15	18	0	Crip3
543	500	799	385	174	Rrp36
390	390	531	364	150	Ptk7
893	778	1267	810	444	Cnpy3
7602	9383	11255	6308	4109	Ubr2
